country,iso3,year,e_inc_100k,e_pop_num,e_tbhiv_prct,e_hh_contacts,e_prevtx_eligible,lab_xpert,lab_sm,tsr_calculated,priv_new_dx,pub_new_dx,budget_tot,budget_lab,exp_tot,caseb_err_nat,xpert_per_100k_inc,funding_execution_pct,private_sector_pct,priority_score
Kiribati,KIR,2018,349.0,122261,,,,,,95.34883720930233,,,415800.0,70000.0,456696.0,,,109.83549783549785,85.13513513513513,3.622254405020516
Kiribati,KIR,2019,436.0,124241,,,,,,94.66666666666667,,,496865.0,36450.0,,,,109.83549783549785,85.13513513513513,4.557491289198606
Kiribati,KIR,2020,416.0,126463,,,,,,96.0,,,348631.0,13885.0,160036.0,,,45.904122123391204,85.13513513513513,4.288659793814433
Kiribati,KIR,2021,424.0,128874,0.46,,,,,93.47826086956522,,,489369.0,23324.0,403323.0,,,82.41694917332319,85.13513513513513,4.48780487804878
Kiribati,KIR,2022,431.0,131232,,,,,,93.47826086956522,,,422878.0,21532.0,,0.0,,82.41694917332319,85.13513513513513,4.48780487804878
Kuwait,KWT,2018,22.0,4317185,0.37,,,,,100.0,,,9350000.0,,7775000.0,,,83.15508021390374,85.13513513513513,0.21782178217821782
Kuwait,KWT,2019,20.0,4441100,0.38,,,,,100.0,,,8555000.0,,8555000.0,,,100.0,85.13513513513513,0.19801980198019803
Kuwait,KWT,2020,18.0,4360444,0.38,,,,,92.3076923076923,,,9450000.0,,8600000.0,,,91.005291005291,85.13513513513513,0.19291014014839242
Kuwait,KWT,2021,20.0,4250114,0.38,,,,,100.0,,,10950000.0,,,,,91.005291005291,85.13513513513513,0.19801980198019803
Kuwait,KWT,2022,12.0,4268873,0.89,1100.0,20.0,,,100.0,,,,,,44.0,,91.005291005291,85.13513513513513,0.19801980198019803
Kyrgyzstan,KGZ,2018,116.0,6223494,3.2,,,,,91.92307692307692,,,25282188.0,627905.0,6111725.0,,,24.174035095380194,85.13513513513513,1.2483443708609272
Kyrgyzstan,KGZ,2019,110.0,6323643,2.3,,,,,91.92307692307692,,,19260088.0,946338.0,12818132.0,,,66.55282156550895,85.13513513513513,1.2483443708609272
Kyrgyzstan,KGZ,2020,106.0,6424874,3.3,,,,,71.42857142857143,,,16127481.0,1274796.0,16997498.0,,,105.39462424417056,85.13513513513513,1.4635108481262327
Kyrgyzstan,KGZ,2021,115.0,6527743,2.9,,,,,96.11111111111111,,,13062463.0,945292.0,9101383.0,,,69.67585668950794,85.13513513513513,1.1842105263157894
